time_ms,audio_time_ms,frame_id,mouth_open_target,mouth_up_corner_l_target,mouth_up_corner_r_target,mouth_lip_upper_l_target,mouth_lip_upper_r_target,mouth_lip_lower_target,send_success
9.891,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
40.493,40.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
80.559,80.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1
120.981,120.0,3,0.14,0.045,0.045,0.0675,0.0675,0.14,1
161.582,160.0,4,0.28,0.05625,0.05625,0.084375,0.084375,0.215,1
201.437,200.0,5,0.19,0.179063,0.179063,0.051094,0.051094,0.09875,1
240.946,240.0,6,0.33,0.089766,0.089766,0.080273,0.080273,0.204687,1
281.055,280.0,7,0.2025,0.187441,0.187441,0.050068,0.050068,0.096172,1
320.842,320.0,8,0.185625,0.10686,0.10686,0.042517,0.042517,0.099043,1
361.039,360.0,9,0.166406,0.191715,0.191715,0.040629,0.040629,0.069761,1
400.894,400.0,10,0.161602,0.051715,0.051715,0.047657,0.047657,0.10744,1
441.257,440.0,11,0.1604,0.177929,0.177929,0.041914,0.041914,0.07186,1
481.029,480.0,12,0.1751,0.104482,0.104482,0.040479,0.040479,0.092965,1
521.485,520.0,13,0.163775,0.191121,0.191121,0.04012,0.04012,0.068241,1
561.14,560.0,14,0.160944,0.21278,0.21278,0.04003,0.04003,0.06206,1
600.756,600.0,15,0.175236,0.113195,0.113195,0.040007,0.040007,0.090515,1
640.667,640.0,16,0.163809,0.193299,0.193299,0.040002,0.040002,0.067629,1
681.009,680.0,17,0.303809,0.093325,0.093325,0.0775,0.0775,0.196907,1
721.161,720.0,18,0.334702,0.057081,0.057081,0.07,0.07,0.184227,1
760.578,760.0,19,0.256176,0.03677,0.03677,0.05125,0.05125,0.136057,1
801.09,800.0,20,0.150294,0.020443,0.020443,0.029688,0.029688,0.079014,1
840.782,840.0,21,0.037573,0.005111,0.005111,0.007422,0.007422,0.019754,1
881.305,880.0,22,0.009393,0.001278,0.001278,0.001855,0.001855,0.004938,1
920.69,920.0,23,0.002348,0.000319,0.000319,0.000464,0.000464,0.001235,1
961.611,960.0,24,0.000587,8e-05,8e-05,0.000116,0.000116,0.000309,1
1000.666,1000.0,25,0.000147,2e-05,2e-05,2.9e-05,2.9e-05,7.7e-05,1
1040.785,1040.0,26,3.7e-05,5e-06,5e-06,7e-06,7e-06,1.9e-05,1
1081.508,1080.0,27,9e-06,1e-06,1e-06,2e-06,2e-06,5e-06,1
1120.95,1120.0,28,2e-06,0.0,0.0,0.0,0.0,1e-06,1
1161.044,1160.0,29,1e-06,0.0,0.0,0.0,0.0,0.0,1
1200.948,1200.0,30,0.12,0.14,0.14,0.03,0.03,0.045,1
1241.458,1240.0,31,0.255,0.0,0.0,0.06,0.06,0.14625,1
1281.137,1280.0,32,0.19875,0.06,0.06,0.045,0.045,0.111563,1
1321.159,1320.0,33,0.274688,-0.08,-0.08,0.06375,0.06375,0.162891,1
1361.002,1360.0,34,0.413672,0.025,0.025,0.083438,0.083438,0.220723,1
1401.329,1400.0,35,0.362168,0.04,0.04,0.071484,0.071484,0.190181,1
1440.498,1440.0,36,0.263042,0.0325,0.0325,0.051621,0.051621,0.137545,1
1481.201,1480.0,37,0.15201,0.019375,0.019375,0.02978,0.02978,0.079386,1
1521.574,1520.0,38,0.038003,0.004844,0.004844,0.007445,0.007445,0.019847,1
1560.918,1560.0,39,0.178003,0.046211,0.046211,0.069361,0.069361,0.159847,1
1601.406,1600.0,40,0.318003,0.056553,0.056553,0.08484,0.08484,0.219962,1
1641.778,1640.0,41,0.199501,0.179138,0.179138,0.05121,0.05121,0.09999,1
1681.647,1680.0,42,0.169875,0.209785,0.209785,0.042803,0.042803,0.069998,1
1720.662,1720.0,43,0.162469,0.217446,0.217446,0.040701,0.040701,0.062499,1
1761.733,1760.0,44,0.302469,0.099362,0.099362,0.077675,0.077675,0.195625,1
1801.789,1800.0,45,0.195617,0.18984,0.18984,0.049419,0.049419,0.093906,1
1841.228,1840.0,46,0.168904,0.04984,0.04984,0.049855,0.049855,0.113477,1
1880.771,1880.0,47,0.308904,0.05746,0.05746,0.079964,0.079964,0.208369,1
1921.113,1920.0,48,0.212226,0.074365,0.074365,0.049991,0.049991,0.127092,1
1961.636,1960.0,49,0.188057,0.078591,0.078591,0.042498,0.042498,0.106773,1
2000.875,2000.0,50,0.328057,0.064648,0.064648,0.078124,0.078124,0.206693,1
2041.613,2040.0,51,0.202014,-0.075352,-0.075352,0.057031,0.057031,0.141673,1
2080.933,2080.0,52,0.275504,-0.138838,-0.138838,0.066758,0.066758,0.170418,1
2120.827,2120.0,53,0.203876,0.001162,0.001162,0.046689,0.046689,0.117605,1
2161.253,2160.0,54,0.170969,0.141162,0.141162,0.041672,0.041672,0.074401,1
2201.556,2200.0,55,0.162742,0.001162,0.001162,0.047918,0.047918,0.1086,1
2241.2,2240.0,56,0.160686,0.141162,0.141162,0.04198,0.04198,0.07215,1
2280.491,2280.0,57,0.265171,0.001162,0.001162,0.062995,0.062995,0.153038,1
2321.287,2320.0,58,0.291293,-0.11971,-0.11971,0.068249,0.068249,0.173259,1
2360.594,2360.0,59,0.192823,0.02029,0.02029,0.047062,0.047062,0.088315,1
2400.718,2400.0,60,0.273206,-0.114927,-0.114927,0.064266,0.064266,0.157079,1
2440.973,2440.0,61,0.203301,0.025073,0.025073,0.046066,0.046066,0.11427,1
2480.747,2480.0,62,0.343301,0.051268,0.051268,0.079017,0.079017,0.208567,1
2521.168,2520.0,63,0.310825,-0.088732,-0.088732,0.072254,0.072254,0.187142,1
2561.543,2560.0,64,0.246456,-0.112183,-0.112183,0.057439,0.057439,0.148035,1
2601.473,2600.0,65,0.174114,-0.088046,-0.088046,0.04061,0.04061,0.104509,1
2640.925,2640.0,66,0.099779,-0.052011,-0.052011,0.023277,0.023277,0.059877,1
2681.396,2680.0,67,0.024945,-0.013003,-0.013003,0.005819,0.005819,0.014969,1
2721.594,2720.0,68,0.006236,-0.003251,-0.003251,0.001455,0.001455,0.003742,1
2761.246,2760.0,69,0.001559,-0.000813,-0.000813,0.000364,0.000364,0.000936,1
