frame_id,time_ms,phrase_idx,syllable_idx,global_syllable_idx,syllable,start_viseme,end_viseme,alpha
3,120,0,0,0,xiang,5,7,1.0
4,160,0,1,1,xiang,5,7,1.0
5,200,0,2,2,yi,5,5,1.0
6,240,0,3,3,xia,5,7,1.0
7,280,1,0,4,ni,2,5,1.0
8,320,1,1,5,zheng,2,4,1.0
9,360,1,2,6,zai,5,5,1.0
10,400,1,3,7,yu,5,3,1.0
11,440,1,4,8,yi,5,5,1.0
12,480,1,5,9,ge,4,4,1.0
13,520,1,6,10,ji,5,5,1.0
14,560,1,7,11,qi,5,5,1.0
15,600,1,8,12,ren,2,4,1.0
16,640,1,9,13,dui,2,5,1.0
17,680,1,10,14,hua,4,7,1.0
18,720,2,0,15,zhe,2,4,1.0
19,760,2,1,16,ge,4,4,1.0
20,800,2,2,17,ji,5,5,1.0
21,840,2,3,18,qi,5,5,1.0
22,880,2,4,19,ren,2,4,1.0
23,920,2,5,20,neng,2,4,1.0
24,960,2,6,21,gou,4,6,1.0
25,1000,2,7,22,gen,4,4,1.0
26,1040,2,8,23,ju,5,3,1.0
27,1080,2,9,24,ni,2,5,1.0
28,1120,2,10,25,shuo,2,6,1.0
29,1160,2,11,26,de,2,4,1.0
30,1200,2,12,27,nei,2,5,1.0
31,1240,2,13,28,rong,2,6,1.0
32,1280,2,14,29,he,4,4,1.0
33,1320,2,15,30,shuo,2,6,1.0
34,1360,2,16,31,hua,4,7,1.0
35,1400,2,17,32,shi,2,5,1.0
36,1440,2,18,33,de,2,4,1.0
37,1480,2,19,34,qing,5,4,1.0
38,1520,2,20,35,gan,4,7,1.0
39,1560,2,21,36,bian,0,7,1.0
40,1600,2,22,37,hua,4,7,1.0
41,1640,3,0,38,shi,2,5,1.0
42,1680,3,1,39,shi,2,5,1.0
43,1720,3,2,40,di,2,5,1.0
44,1760,3,3,41,zhan,2,7,1.0
45,1800,3,4,42,shi,2,5,1.0
46,1840,3,5,43,chu,2,3,1.0
47,1880,3,6,44,xiang,5,7,1.0
48,1920,3,7,45,ying,5,4,1.0
49,1960,3,8,46,de,2,4,1.0
50,2000,3,9,47,mian,0,7,1.0
51,2040,3,10,48,bu,0,3,1.0
52,2080,3,11,49,biao,0,6,1.0
53,2120,3,12,50,qing,5,4,1.0
54,2160,4,0,51,bi,0,5,1.0
55,2200,4,1,52,ru,2,3,1.0
56,2240,4,2,53,wei,3,5,1.0
57,2280,4,3,54,xiao,5,6,1.0
58,2320,4,4,55,zhou,2,6,1.0
59,2360,4,5,56,mei,0,5,1.0
60,2400,4,6,57,huo,4,6,1.0
61,2440,4,7,58,zhe,2,4,1.0
62,2480,4,8,59,zhang,2,7,1.0
63,2520,4,9,60,zui,5,5,1.0
63,2520,5,0,61,zhe,2,4,1.0
63,2520,5,1,62,jiang,5,7,1.0
63,2520,5,2,63,shi,2,5,1.0
63,2520,5,3,64,de,2,4,1.0
63,2520,5,4,65,ren,2,4,1.0
63,2520,5,5,66,yu,5,3,1.0
63,2520,5,6,67,ji,5,5,1.0
63,2520,5,7,68,qi,5,5,1.0
63,2520,5,8,69,ren,2,4,1.0
63,2520,5,9,70,de,2,4,1.0
63,2520,5,10,71,hu,4,3,1.0
63,2520,5,11,72,dong,2,6,1.0
63,2520,5,12,73,geng,4,4,1.0
63,2520,5,13,74,jia,5,7,1.0
63,2520,5,14,75,zi,5,5,1.0
63,2520,5,15,76,ran,2,7,1.0
63,2520,5,16,77,he,4,4,1.0
63,2520,5,17,78,zhen,2,4,1.0
63,2520,5,18,79,shi,2,5,1.0
63,2520,6,0,80,zong,5,6,1.0
63,2520,6,1,81,de,2,4,1.0
63,2520,6,2,82,lai,2,5,1.0
63,2520,6,3,83,shuo,2,6,1.0
63,2520,7,0,84,zhe,2,4,1.0
63,2520,7,1,85,pian,0,7,1.0
63,2520,7,2,86,lun,2,3,1.0
63,2520,7,3,87,wen,3,4,1.0
63,2520,7,4,88,ti,2,5,1.0
63,2520,7,5,89,chu,2,3,1.0
63,2520,7,6,90,de,2,4,1.0
63,2520,7,7,91,ji,5,5,1.0
63,2520,7,8,92,shu,2,3,1.0
63,2520,7,9,93,wei,3,5,1.0
63,2520,7,10,94,fang,1,7,1.0
63,2520,7,11,95,zhen,2,4,1.0
63,2520,7,12,96,ji,5,5,1.0
63,2520,7,13,97,qi,5,5,1.0
63,2520,7,14,98,ren,2,4,1.0
63,2520,7,15,99,de,2,4,1.0
63,2520,7,16,100,mian,0,7,1.0
63,2520,7,17,101,bu,0,3,1.0
63,2520,7,18,102,biao,0,6,1.0
63,2520,7,19,103,qing,5,4,1.0
63,2520,7,20,104,sheng,2,4,1.0
63,2520,7,21,105,cheng,2,4,1.0
63,2520,7,22,106,ti,2,5,1.0
63,2520,7,23,107,gong,4,6,1.0
63,2520,7,24,108,le,2,4,1.0
63,2520,7,25,109,yi,5,5,1.0
63,2520,7,26,110,zhong,2,6,1.0
63,2520,7,27,111,xin,5,5,1.0
63,2520,7,28,112,de,2,4,1.0
63,2520,7,29,113,fang,1,7,1.0
63,2520,7,30,114,fa,1,7,1.0
63,2520,8,0,115,shi,2,5,1.0
63,2520,8,1,116,de,2,4,1.0
63,2520,8,2,117,ji,5,5,1.0
63,2520,8,3,118,qi,5,5,1.0
63,2520,8,4,119,ren,2,4,1.0
63,2520,8,5,120,neng,2,4,1.0
63,2520,8,6,121,gou,4,6,1.0
63,2520,8,7,122,geng,4,4,1.0
63,2520,8,8,123,jia,5,7,1.0
63,2520,8,9,124,zi,5,5,1.0
63,2520,8,10,125,ran,2,7,1.0
63,2520,8,11,126,di,2,5,1.0
63,2520,8,12,127,yu,5,3,1.0
63,2520,8,13,128,ren,2,4,1.0
63,2520,8,14,129,lei,2,5,1.0
63,2520,8,15,130,jin,5,5,1.0
63,2520,8,16,131,xing,5,4,1.0
63,2520,8,17,132,jiao,5,6,1.0
63,2520,8,18,133,liu,2,2,1.0
63,2520,8,19,134,he,4,4,1.0
63,2520,8,20,135,hu,4,3,1.0
63,2520,8,21,136,dong,2,6,1.0
