segment_idx,start_frame,end_frame,start_time_ms,end_time_ms
0,4,14,160,560
1,20,25,800,1000
2,38,52,1520,2080
3,63,66,2520,2640
4,74,92,2960,3680
5,105,125,4200,5000
6,129,141,5160,5640
7,145,146,5800,5840
8,155,173,6200,6920
9,178,200,7120,8000
10,204,225,8160,9000
11,238,256,9520,10240
12,260,262,10400,10480
13,266,303,10640,12120
14,326,340,13040,13600
15,352,376,14080,15040
16,380,382,15200,15280
17,397,409,15880,16360
18,414,420,16560,16800
19,434,476,17360,19040
20,481,491,19240,19640
21,521,540,20840,21600
22,552,569,22080,22760
23,579,583,23160,23320
24,587,611,23480,24440
25,620,652,24800,26080
26,657,660,26280,26400
27,664,667,26560,26680
28,675,713,27000,28520
29,727,736,29080,29440
30,744,750,29760,30000
31,755,789,30200,31560
32,796,805,31840,32200
33,809,816,32360,32640
34,820,845,32800,33800
