paragraph_id,phrase_idx,syllable_idx,global_syllable_idx,syllable,start_viseme,end_viseme,start_frame,end_frame,num_frames
P002,0,0,0,fang,1,7,4,9,6
P002,0,1,1,zhen,2,4,10,15,6
P002,0,2,2,ji,5,5,16,21,6
P002,0,3,3,qi,5,5,22,27,6
P002,0,4,4,ren,2,4,28,33,6
P002,0,5,5,you,5,6,34,39,6
P002,0,6,6,wang,3,7,40,44,5
P002,0,7,7,tong,2,6,45,49,5
P002,0,8,8,guo,4,6,50,54,5
P002,0,9,9,bi,0,5,55,59,5
P002,0,10,10,zhen,2,4,60,64,5
P002,0,11,11,de,2,4,65,69,5
P002,0,12,12,mian,0,7,70,74,5
P002,0,13,13,bu,0,3,75,79,5
P002,0,14,14,biao,0,6,80,84,5
P002,0,15,15,qing,5,4,85,89,5
P002,0,16,16,shi,2,5,90,94,5
P002,0,17,17,xian,5,7,95,99,5
P002,0,18,18,zi,5,5,100,104,5
P002,0,19,19,ran,2,7,105,109,5
P002,0,20,20,de,2,4,110,114,5
P002,0,21,21,ren,2,4,115,119,5
P002,0,22,22,ji,5,5,120,124,5
P002,0,23,23,jiao,5,6,125,129,5
P002,0,24,24,hu,4,3,130,134,5
P002,1,0,25,ran,2,7,161,165,5
P002,1,1,26,er,4,4,166,170,5
P002,2,0,27,you,5,6,184,188,5
P002,2,1,28,yu,5,3,189,193,5
P002,2,2,29,mian,0,7,194,198,5
P002,2,3,30,bu,0,3,199,203,5
P002,2,4,31,sheng,2,4,204,208,5
P002,2,5,32,wu,3,3,209,213,5
P002,2,6,33,li,2,5,214,218,5
P002,2,7,34,xue,5,4,219,223,5
P002,2,8,35,de,2,4,224,228,5
P002,2,9,36,fu,1,3,229,233,5
P002,2,10,37,za,5,7,234,238,5
P002,2,11,38,xing,5,4,239,243,5
P002,2,12,39,yi,5,5,244,248,5
P002,2,13,40,ji,5,5,249,253,5
P002,2,14,41,dui,2,5,254,258,5
P002,2,15,42,xiang,5,7,259,263,5
P002,2,16,43,ying,5,4,264,268,5
P002,2,17,44,shi,2,5,269,273,5
P002,2,18,45,yun,5,3,274,278,5
P002,2,19,46,dong,2,6,279,283,5
P002,2,20,47,he,4,4,284,287,4
P002,2,21,48,cheng,2,4,288,291,4
P002,2,22,49,de,2,4,292,295,4
P002,2,23,50,xu,5,3,296,299,4
P002,2,24,51,qiu,5,5,300,303,4
P002,3,0,52,sheng,2,4,313,320,8
P002,3,1,53,cheng,2,4,321,328,8
P002,3,2,54,bi,0,5,329,336,8
P002,3,3,55,zhen,2,4,337,344,8
P002,3,4,56,qie,5,4,345,352,8
P002,3,5,57,yu,5,3,353,359,7
P002,3,6,58,yu,5,3,360,366,7
P002,3,7,59,yin,5,5,367,373,7
P002,3,8,60,tong,2,6,374,380,7
P002,3,9,61,bu,0,3,381,387,7
