paragraph_id,phrase_idx,syllable_idx,global_syllable_idx,syllable,phone,phone_role,viseme_id,start_frame,end_frame,start_time_ms,end_time_ms,dominance,motion_profile
P002,0,0,0,fang,f,initial,1,4,5,160,200,1.0,labiodental
P002,0,0,0,fang,ang,final,7,6,9,240,360,0.82,vowel_hold
P002,0,1,1,zhen,zh,initial,2,10,10,400,400,0.62,soft_consonant
P002,0,1,1,zhen,en,final,4,11,15,440,600,0.82,vowel_hold
P002,0,2,2,ji,i,final,5,16,21,640,840,0.82,vowel_hold
P002,0,3,3,qi,i,final,5,22,27,880,1080,0.82,vowel_hold
P002,0,4,4,ren,r,initial,2,28,28,1120,1120,0.62,soft_consonant
P002,0,4,4,ren,en,final,4,29,33,1160,1320,0.82,vowel_hold
P002,0,5,5,you,y,initial,5,34,34,1360,1360,0.72,soft_consonant
P002,0,5,5,you,ou,final,6,35,39,1400,1560,0.82,vowel_hold
P002,0,6,6,wang,w,initial,3,40,40,1600,1600,0.72,soft_consonant
P002,0,6,6,wang,ang,final,7,41,44,1640,1760,0.82,vowel_hold
P002,0,7,7,tong,t,initial,2,45,45,1800,1800,0.62,soft_consonant
P002,0,7,7,tong,ong,final,6,46,49,1840,1960,0.82,vowel_hold
P002,0,8,8,guo,g,initial,4,50,50,2000,2000,0.72,soft_consonant
P002,0,8,8,guo,uo,final,6,51,54,2040,2160,0.82,vowel_hold
P002,0,9,9,bi,b,initial,0,55,56,2200,2240,1.0,closure
P002,0,9,9,bi,i,final,5,57,59,2280,2360,0.82,vowel_hold
P002,0,10,10,zhen,zh,initial,2,60,60,2400,2400,0.62,soft_consonant
P002,0,10,10,zhen,en,final,4,61,64,2440,2560,0.82,vowel_hold
P002,0,11,11,de,d,initial,2,65,65,2600,2600,0.62,soft_consonant
P002,0,11,11,de,e,final,4,66,69,2640,2760,0.82,vowel_hold
P002,0,12,12,mian,m,initial,0,70,71,2800,2840,1.0,closure
P002,0,12,12,mian,ian,final,7,72,74,2880,2960,0.82,vowel_hold
P002,0,13,13,bu,b,initial,0,75,76,3000,3040,1.0,closure
P002,0,13,13,bu,u,final,3,77,79,3080,3160,0.82,vowel_hold
P002,0,14,14,biao,b,initial,0,80,81,3200,3240,1.0,closure
P002,0,14,14,biao,iao,final,6,82,84,3280,3360,0.72,vowel_hold
P002,0,15,15,qing,q,initial,5,85,85,3400,3400,0.72,soft_consonant
P002,0,15,15,qing,ing,final,4,86,89,3440,3560,0.82,vowel_hold
P002,0,16,16,shi,sh,initial,2,90,90,3600,3600,0.62,soft_consonant
P002,0,16,16,shi,i,final,5,91,94,3640,3760,0.82,vowel_hold
P002,0,17,17,xian,x,initial,5,95,95,3800,3800,0.72,soft_consonant
P002,0,17,17,xian,ian,final,7,96,99,3840,3960,0.82,vowel_hold
