frame_id,time_ms,syllable,start_v,end_v,alpha,rms_amp,mouth_open,corner_l,corner_r,upper_lip_l,upper_lip_r,lower_lip
0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
3,120,fang,1,1,1.0,1.0,0.0,-0.1,-0.1,0.42,0.42,-0.35
4,160,fang,1,1,1.0,1.0,0.0,-0.1,-0.1,0.42,0.42,-0.35
5,200,fang,1,1,1.0,1.0,0.0,-0.1,-0.1,0.42,0.42,-0.35
6,240,fang,1,1,1.0,1.0,0.0,-0.1,-0.1,0.42,0.42,-0.35
7,280,fang,1,7,0.0,1.0,0.0,-0.1,-0.1,0.42,0.42,-0.35
8,320,fang,1,7,0.430809,0.947686,0.212301,0.117533,0.117533,0.238802,0.238802,-0.09081
9,360,fang,1,7,0.996374,0.835744,0.433011,0.349437,0.349437,0.026254,0.026254,0.198791
10,400,zhen,4,4,1.0,0.879535,0.255065,0.202293,0.202293,-0.087953,-0.087953,0.228679
11,440,zhen,4,4,1.0,0.949089,0.275236,0.21829,0.21829,-0.094909,-0.094909,0.246763
12,480,zhen,4,4,1.0,0.954074,0.276681,0.219437,0.219437,-0.095407,-0.095407,0.248059
13,520,zhen,4,4,1.0,0.913384,0.264881,0.210078,0.210078,-0.091338,-0.091338,0.23748
14,560,zhen,2,5,0.0,0.868133,0.112857,-0.182308,-0.182308,0.017363,0.017363,0.052088
15,600,ji,4,4,1.0,0.859004,0.249111,0.197571,0.197571,-0.0859,-0.0859,0.223341
16,640,ji,4,4,1.0,0.873558,0.253332,0.200918,0.200918,-0.087356,-0.087356,0.227125
17,680,ji,4,4,1.0,0.865805,0.251083,0.199135,0.199135,-0.08658,-0.08658,0.225109
18,720,ji,4,2,0.0,0.871692,0.252791,0.200489,0.200489,-0.087169,-0.087169,0.22664
19,760,ji,4,2,0.5,0.880585,0.184923,0.008806,0.008806,-0.035223,-0.035223,0.140894
20,800,qi,2,5,0.0,0.886575,0.115255,-0.186181,-0.186181,0.017732,0.017732,0.053195
21,840,qi,2,5,0.430809,0.913186,0.130516,0.020672,0.020672,0.14022,0.14022,0.054791
22,880,qi,2,5,0.996374,0.907171,0.145049,0.29759,0.29759,0.298347,0.298347,0.05443
23,920,qi,5,5,0.0,0.906775,0.145084,0.299236,0.299236,0.299236,0.299236,0.054406
24,960,qi,5,5,0.0,0.907052,0.145128,0.299327,0.299327,0.299327,0.299327,0.054423
25,1000,qi,5,5,1.0,0.936211,0.149794,0.30895,0.30895,0.30895,0.30895,0.056173
26,1040,ren,2,5,0.0,0.957062,0.124418,-0.200983,-0.200983,0.019141,0.019141,0.057424
27,1080,ren,2,5,0.430809,0.936189,0.133804,0.021192,0.021192,0.143753,0.143753,0.056171
28,1120,ren,2,5,0.996374,0.890018,0.142306,0.291963,0.291963,0.292706,0.292706,0.053401
29,1160,ren,2,5,1.0,0.855027,0.136804,0.282159,0.282159,0.282159,0.282159,0.051302
30,1200,you,5,5,1.0,0.835679,0.133709,0.275774,0.275774,0.275774,0.275774,0.050141
31,1240,you,5,5,0.0,0.865291,0.138447,0.285546,0.285546,0.285546,0.285546,0.051917
32,1280,you,5,5,1.0,0.914027,0.146244,0.301629,0.301629,0.301629,0.301629,0.054842
33,1320,you,5,5,0.0,0.949239,0.151878,0.313249,0.313249,0.313249,0.313249,0.056954
34,1360,you,5,5,1.0,0.926463,0.148234,0.305733,0.305733,0.305733,0.305733,0.055588
35,1400,you,5,4,0.0,0.950276,0.152044,0.313591,0.313591,0.313591,0.313591,0.057017
36,1440,you,5,4,0.430809,0.998899,0.215767,0.286603,0.286603,0.144593,0.144593,0.146001
37,1480,you,5,4,0.996374,1.053214,0.304936,0.242621,0.242621,-0.103679,-0.103679,0.273072
38,1520,you,5,4,1.0,0.987537,0.286386,0.227134,0.227134,-0.098754,-0.098754,0.25676
39,1560,wang,2,2,1.0,0.895949,0.116473,-0.188149,-0.188149,0.017919,0.017919,0.053757
40,1600,wang,2,2,1.0,0.824629,0.107202,-0.173172,-0.173172,0.016493,0.016493,0.049478
41,1640,wang,2,2,1.0,0.835156,0.10857,-0.175383,-0.175383,0.016703,0.016703,0.050109
42,1680,tong,5,5,1.0,0.897621,0.143619,0.296215,0.296215,0.296215,0.296215,0.053857
43,1720,tong,5,5,1.0,0.926877,0.1483,0.30587,0.30587,0.30587,0.30587,0.055613
44,1760,tong,5,5,1.0,0.924166,0.147867,0.304975,0.304975,0.304975,0.304975,0.05545
45,1800,tong,5,6,0.0,0.868151,0.138904,0.28649,0.28649,0.28649,0.28649,0.052089
46,1840,tong,5,6,1.0,0.865913,0.259774,-0.303069,-0.303069,-0.051955,-0.051955,-0.225137
47,1880,guo,3,3,1.0,0.926159,0.148185,-0.657573,-0.657573,0.222278,0.222278,-0.676096
