frame_id,time_ms,brow_head_l,brow_head_r,eyelid_open_l,eyelid_open_r,eye_h_attention_l,eye_h_attention_r,eye_v_attention_l,eye_v_attention_r,mouth_open,mouth_up_corner_l,mouth_up_corner_r,mouth_lip_upper_l,mouth_lip_upper_r,mouth_lip_lower,cheek_l,cheek_r
0,0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1,40,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2,80,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3,120,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
4,160,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,-0.1,-0.1,0.42,0.42,-0.35,1.0,1.0
5,200,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,-0.1,-0.1,0.42,0.42,-0.35,1.0,1.0
6,240,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,-0.1,-0.1,0.42,0.42,-0.35,1.0,1.0
7,280,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,-0.1,-0.1,0.42,0.42,-0.35,1.0,1.0
8,320,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,-0.066667,-0.066667,0.28,0.28,-0.233333,1.0,1.0
9,360,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,-0.033333,-0.033333,0.14,0.14,-0.116667,1.0,1.0
10,400,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
11,440,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.275236,0.21829,0.21829,-0.094909,-0.094909,0.246763,1.0,1.0
12,480,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.276681,0.219437,0.219437,-0.095407,-0.095407,0.248059,1.0,1.0
13,520,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.264881,0.210078,0.210078,-0.091338,-0.091338,0.23748,1.0,1.0
14,560,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.198661,0.157559,0.157559,-0.068503,-0.068503,0.17811,1.0,1.0
15,600,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.132441,0.105039,0.105039,-0.045669,-0.045669,0.11874,1.0,1.0
16,640,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.06622,0.05252,0.05252,-0.022835,-0.022835,0.05937,1.0,1.0
17,680,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
18,720,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
19,760,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
20,800,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
21,840,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
22,880,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
23,920,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
24,960,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
25,1000,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.149794,0.30895,0.30895,0.30895,0.30895,0.056173,1.0,1.0
26,1040,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.124418,-0.200983,-0.200983,0.019141,0.019141,0.057424,1.0,1.0
27,1080,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.133804,0.021192,0.021192,0.143753,0.143753,0.056171,1.0,1.0
28,1120,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.100353,0.015894,0.015894,0.107815,0.107815,0.042128,1.0,1.0
29,1160,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.066902,0.010596,0.010596,0.071877,0.071877,0.028086,1.0,1.0
30,1200,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.033451,0.005298,0.005298,0.035938,0.035938,0.014043,1.0,1.0
31,1240,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
32,1280,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.146244,0.301629,0.301629,0.301629,0.301629,0.054842,1.0,1.0
33,1320,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.151878,0.313249,0.313249,0.313249,0.313249,0.056954,1.0,1.0
34,1360,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.148234,0.305733,0.305733,0.305733,0.305733,0.055588,1.0,1.0
35,1400,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.152044,0.313591,0.313591,0.313591,0.313591,0.057017,1.0,1.0
36,1440,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.215767,0.286603,0.286603,0.144593,0.144593,0.146001,1.0,1.0
37,1480,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.304936,0.242621,0.242621,-0.103679,-0.103679,0.273072,1.0,1.0
38,1520,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.286386,0.227134,0.227134,-0.098754,-0.098754,0.25676,1.0,1.0
39,1560,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.116473,-0.188149,-0.188149,0.017919,0.017919,0.053757,1.0,1.0
40,1600,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.077649,-0.125433,-0.125433,0.011946,0.011946,0.035838,1.0,1.0
41,1640,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.038824,-0.062716,-0.062716,0.005973,0.005973,0.017919,1.0,1.0
42,1680,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
43,1720,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.1483,0.30587,0.30587,0.30587,0.30587,0.055613,1.0,1.0
44,1760,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.147867,0.304975,0.304975,0.304975,0.304975,0.05545,1.0,1.0
45,1800,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.138904,0.28649,0.28649,0.28649,0.28649,0.052089,1.0,1.0
46,1840,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.259774,-0.303069,-0.303069,-0.051955,-0.051955,-0.225137,1.0,1.0
47,1880,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.148185,-0.657573,-0.657573,0.222278,0.222278,-0.676096,1.0,1.0
