frame_id,time_ms,brow_head_l,brow_head_r,eyelid_open_l,eyelid_open_r,eye_h_attention_l,eye_h_attention_r,eye_v_attention_l,eye_v_attention_r,mouth_open,mouth_up_corner_l,mouth_up_corner_r,mouth_lip_upper_l,mouth_lip_upper_r,mouth_lip_lower,cheek_l,cheek_r
0,0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1,40,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2,80,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3,120,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
4,160,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,-0.075,-0.075,0.14,0.14,-0.14,1.0,1.0
5,200,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,-0.09375,-0.09375,0.28,0.28,-0.28,1.0,1.0
6,240,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,-0.098438,-0.098438,0.385,0.385,-0.3325,1.0,1.0
7,280,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,-0.099609,-0.099609,0.41125,0.41125,-0.345625,1.0,1.0
8,320,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,-0.074903,-0.074903,0.312813,0.312813,-0.261406,1.0,1.0
9,360,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,-0.043725,-0.043725,0.183203,0.183203,-0.152852,1.0,1.0
10,400,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,-0.010931,-0.010931,0.045801,0.045801,-0.038213,1.0,1.0
11,440,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.14,0.129069,0.129069,-0.059732,-0.059732,0.101787,1.0,1.0
12,480,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.242511,0.196845,0.196845,-0.086488,-0.086488,0.211491,1.0,1.0
13,520,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.259288,0.20677,0.20677,-0.090126,-0.090126,0.230983,1.0,1.0
14,560,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.213818,0.169862,0.169862,-0.073909,-0.073909,0.191328,1.0,1.0
15,600,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.152785,0.121245,0.121245,-0.052729,-0.052729,0.136887,1.0,1.0
16,640,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.087861,0.069701,0.069701,-0.030308,-0.030308,0.078749,1.0,1.0
17,680,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.021965,0.017425,0.017425,-0.007577,-0.007577,0.019687,1.0,1.0
18,720,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.005491,0.004356,0.004356,-0.001894,-0.001894,0.004922,1.0,1.0
19,760,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.001373,0.001089,0.001089,-0.000474,-0.000474,0.00123,1.0,1.0
20,800,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.000343,0.000272,0.000272,-0.000118,-0.000118,0.000308,1.0,1.0
21,840,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,8.6e-05,6.8e-05,6.8e-05,-3e-05,-3e-05,7.7e-05,1.0,1.0
22,880,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,2.1e-05,1.7e-05,1.7e-05,-7e-06,-7e-06,1.9e-05,1.0,1.0
23,920,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,5e-06,4e-06,4e-06,-2e-06,-2e-06,5e-06,1.0,1.0
24,960,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1e-06,1e-06,1e-06,-0.0,-0.0,1e-06,1.0,1.0
25,1000,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.112346,0.140001,0.140001,0.14,0.14,0.04213,1.0,1.0
26,1040,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.1214,1e-06,1e-06,0.049356,0.049356,0.053601,1.0,1.0
27,1080,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.130703,0.015894,0.015894,0.120154,0.120154,0.055528,1.0,1.0
28,1120,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.10794,0.015894,0.015894,0.1109,0.1109,0.045478,1.0,1.0
29,1160,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.077162,0.011921,0.011921,0.081633,0.081633,0.032434,1.0,1.0
30,1200,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.044379,0.006954,0.006954,0.047362,0.047362,0.018641,1.0,1.0
31,1240,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.011095,0.001738,0.001738,0.01184,0.01184,0.00466,1.0,1.0
32,1280,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.112457,0.141738,0.141738,0.15184,0.15184,0.042297,1.0,1.0
33,1320,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.142023,0.270371,0.270371,0.272897,0.272897,0.05329,1.0,1.0
34,1360,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.146681,0.296893,0.296893,0.297524,0.297524,0.055013,1.0,1.0
35,1400,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.150703,0.309416,0.309416,0.309574,0.309574,0.056516,1.0,1.0
36,1440,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.199501,0.292306,0.292306,0.185838,0.185838,0.12363,1.0,1.0
37,1480,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.278577,0.255042,0.255042,0.045838,0.045838,0.235711,1.0,1.0
38,1520,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.284434,0.234111,0.234111,-0.062606,-0.062606,0.251498,1.0,1.0
39,1560,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.158463,0.094111,0.094111,-0.002212,-0.002212,0.111498,1.0,1.0
40,1600,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.097853,-0.045889,-0.045889,0.008406,0.008406,0.054753,1.0,1.0
41,1640,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.053581,-0.058509,-0.058509,0.006581,0.006581,0.027127,1.0,1.0
42,1680,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.013395,-0.014627,-0.014627,0.001645,0.001645,0.006782,1.0,1.0
43,1720,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.114574,0.125373,0.125373,0.141645,0.141645,0.043405,1.0,1.0
44,1760,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.139544,0.260074,0.260074,0.264143,0.264143,0.052439,1.0,1.0
45,1800,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.139064,0.279886,0.279886,0.280903,0.280903,0.052176,1.0,1.0
46,1840,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.229596,0.139886,0.139886,0.140903,0.140903,-0.087824,1.0,1.0
