paragraph_id,phrase_idx,syllable_idx,global_syllable_idx,syllable,start_viseme,end_viseme,start_frame,end_frame,num_frames
P_TTS_ALIGN,0,0,0,ba,0,7,3,6,4
P_TTS_ALIGN,0,1,1,ba,0,7,7,10,4
P_TTS_ALIGN,0,2,2,ma,0,7,11,14,4
P_TTS_ALIGN,0,3,3,ma,0,7,15,17,3
P_TTS_ALIGN,0,4,4,ni,2,5,18,20,3
P_TTS_ALIGN,0,5,5,hao,4,6,21,23,3
P_TTS_ALIGN,1,0,6,jin,5,5,30,36,7
P_TTS_ALIGN,1,1,7,tian,2,7,37,43,7
P_TTS_ALIGN,1,2,8,wo,3,6,44,50,7
P_TTS_ALIGN,1,3,9,men,0,4,51,57,7
P_TTS_ALIGN,1,4,10,ce,5,4,58,64,7
P_TTS_ALIGN,1,5,11,shi,2,5,65,71,7
P_TTS_ALIGN,1,6,12,ji,5,5,72,78,7
P_TTS_ALIGN,1,7,13,qi,5,5,79,85,7
P_TTS_ALIGN,1,8,14,ren,2,4,86,92,7
P_TTS_ALIGN,1,9,15,zui,5,5,93,99,7
P_TTS_ALIGN,1,10,16,xing,5,4,100,105,6
P_TTS_ALIGN,1,11,17,tong,2,6,106,111,6
P_TTS_ALIGN,1,12,18,bu,0,3,112,117,6
