paragraph_id,phrase_idx,syllable_idx,global_syllable_idx,syllable,phone_idx,phone,phone_role,viseme_id,start_frame,end_frame,start_time_ms,end_time_ms,dominance,motion_profile
P_TTS_ALIGN,0,0,0,ba,0,sapi_viseme_21,tts_viseme,0,3,5,120,200,1.0,closure
P_TTS_ALIGN,0,0,0,ba,1,sapi_viseme_2,tts_viseme,7,6,7,240,280,0.86,vowel_hold
P_TTS_ALIGN,0,1,1,ba,0,sapi_viseme_2,tts_viseme,7,9,10,360,400,0.86,vowel_hold
P_TTS_ALIGN,0,2,2,ma,0,sapi_viseme_21,tts_viseme,0,11,12,440,480,1.0,closure
P_TTS_ALIGN,0,2,2,ma,1,sapi_viseme_2,tts_viseme,7,13,15,520,600,0.86,vowel_hold
P_TTS_ALIGN,0,3,3,ma,0,sapi_viseme_2,tts_viseme,7,16,17,640,680,0.86,vowel_hold
P_TTS_ALIGN,0,4,4,ni,0,sapi_viseme_21,tts_viseme,0,19,20,760,800,1.0,closure
P_TTS_ALIGN,0,5,5,hao,0,sapi_viseme_2,tts_viseme,7,22,23,880,920,0.86,vowel_hold
P_TTS_ALIGN,0,5,5,hao,1,sapi_viseme_2,tts_viseme,7,24,25,960,1000,0.86,vowel_hold
P_TTS_ALIGN,0,5,5,hao,2,sapi_viseme_21,tts_viseme,0,26,27,1040,1080,1.0,closure
P_TTS_ALIGN,1,0,6,jin,0,sapi_viseme_2,tts_viseme,7,28,29,1120,1160,0.86,vowel_hold
P_TTS_ALIGN,1,0,6,jin,1,sapi_viseme_2,tts_viseme,7,31,32,1240,1280,0.86,vowel_hold
P_TTS_ALIGN,1,0,6,jin,2,sapi_viseme_19,tts_viseme,2,33,34,1320,1360,0.72,soft_consonant
P_TTS_ALIGN,1,0,6,jin,3,sapi_viseme_6,tts_viseme,5,33,34,1320,1360,0.82,vowel_hold
P_TTS_ALIGN,1,1,7,tian,0,sapi_viseme_6,tts_viseme,5,36,37,1440,1480,0.82,vowel_hold
P_TTS_ALIGN,1,1,7,tian,1,sapi_viseme_6,tts_viseme,5,38,39,1520,1560,0.82,vowel_hold
P_TTS_ALIGN,1,1,7,tian,2,sapi_viseme_12,tts_viseme,4,40,42,1600,1680,0.82,vowel_hold
P_TTS_ALIGN,1,2,8,wo,0,sapi_viseme_2,tts_viseme,7,43,45,1720,1800,0.86,vowel_hold
P_TTS_ALIGN,1,2,8,wo,1,sapi_viseme_8,tts_viseme,6,46,49,1840,1960,0.86,vowel_hold
P_TTS_ALIGN,1,4,10,ce,0,sapi_viseme_16,tts_viseme,2,64,65,2560,2600,0.72,soft_consonant
P_TTS_ALIGN,1,4,10,ce,1,sapi_viseme_6,tts_viseme,5,64,65,2560,2600,0.82,vowel_hold
P_TTS_ALIGN,1,5,11,shi,0,sapi_viseme_6,tts_viseme,5,67,68,2680,2720,0.82,vowel_hold
P_TTS_ALIGN,1,5,11,shi,1,sapi_viseme_19,tts_viseme,2,69,70,2760,2800,0.72,soft_consonant
P_TTS_ALIGN,1,6,12,ji,0,sapi_viseme_6,tts_viseme,5,72,72,2880,2880,0.82,vowel_hold
P_TTS_ALIGN,1,6,12,ji,1,sapi_viseme_19,tts_viseme,2,72,72,2880,2880,0.72,soft_consonant
P_TTS_ALIGN,1,6,12,ji,2,sapi_viseme_2,tts_viseme,7,75,77,3000,3080,0.86,vowel_hold
P_TTS_ALIGN,1,7,13,qi,0,sapi_viseme_19,tts_viseme,2,78,80,3120,3200,0.72,soft_consonant
P_TTS_ALIGN,1,7,13,qi,1,sapi_viseme_7,tts_viseme,3,82,83,3280,3320,0.82,vowel_hold
P_TTS_ALIGN,1,8,14,ren,0,sapi_viseme_8,tts_viseme,6,84,85,3360,3400,0.86,vowel_hold
