frame_id,time_ms,rms,rms_norm,active
0,0,1.03e-06,3e-06,0
1,40,6.02e-05,0.00018,0
2,80,4.813e-05,0.000144,0
3,120,0.0007293,0.002186,1
4,160,0.2107708,0.631745,1
5,200,0.32846332,0.984505,1
6,240,0.26498216,0.794233,1
7,280,0.13334639,0.39968,1
8,320,0.00453902,0.013605,1
9,360,0.11400613,0.341711,1
10,400,0.08864819,0.265706,1
11,440,0.05451432,0.163396,1
12,480,0.07369901,0.220899,1
13,520,0.02431093,0.072867,1
14,560,0.01664063,0.049877,1
15,600,0.10312795,0.309106,1
16,640,0.33363286,1.0,1
17,680,0.2651684,0.794791,1
18,720,0.20164843,0.604402,1
19,760,0.02453264,0.073532,1
20,800,0.08919305,0.267339,1
21,840,0.08516953,0.255279,1
22,880,0.07425978,0.222579,1
23,920,0.04162365,0.124759,1
24,960,0.01376204,0.041249,0
25,1000,0.01861365,0.055791,0
26,1040,0.02449225,0.073411,0
27,1080,0.02876154,0.086207,0
28,1120,0.03961526,0.118739,0
29,1160,0.01478044,0.044301,0
30,1200,0.01635004,0.049006,1
31,1240,0.09101062,0.272787,1
32,1280,0.18000786,0.539539,1
33,1320,0.14200962,0.425646,1
34,1360,0.08849746,0.265254,1
35,1400,0.01611958,0.048315,1
36,1440,0.00255974,0.007672,0
37,1480,0.00041164,0.001234,0
38,1520,0.0,0.0,0
39,1560,0.0,0.0,0
40,1600,0.0,0.0,0
41,1640,0.0,0.0,0
42,1680,0.0,0.0,0
43,1720,0.0,0.0,0
44,1760,3.889e-05,0.000117,0
45,1800,0.00013525,0.000405,0
46,1840,0.00026878,0.000806,0
47,1880,0.02747491,0.082351,0
48,1920,0.02727895,0.081763,1
49,1960,0.06643651,0.199131,1
50,2000,0.04044829,0.121236,1
51,2040,0.0195815,0.058692,0
52,2080,0.00804016,0.024099,0
53,2120,0.00756701,0.022681,0
54,2160,0.04472839,0.134065,1
55,2200,0.08853844,0.265377,1
56,2240,0.08095342,0.242642,1
57,2280,0.04919215,0.147444,1
58,2320,0.0261143,0.078273,1
59,2360,0.01060207,0.031778,1
60,2400,0.02185863,0.065517,1
61,2440,0.06962506,0.208688,1
62,2480,0.06000376,0.17985,1
63,2520,0.01554078,0.04658,0
64,2560,0.01838097,0.055093,0
65,2600,0.03705765,0.111073,0
66,2640,0.0183834,0.055101,0
67,2680,0.01128489,0.033824,0
68,2720,0.00470581,0.014105,0
69,2760,0.00900715,0.026997,0
70,2800,0.03155859,0.094591,1
71,2840,0.10693163,0.320507,1
72,2880,0.0866708,0.259779,1
73,2920,0.02204921,0.066088,1
74,2960,0.03981551,0.119339,1
75,3000,0.0287268,0.086103,1
76,3040,0.06250002,0.187332,1
77,3080,0.04859835,0.145664,1
78,3120,0.02544013,0.076252,0
79,3160,0.0058459,0.017522,0
80,3200,0.01528258,0.045807,0
81,3240,0.03316665,0.099411,0
82,3280,0.02550675,0.076452,0
83,3320,0.02814498,0.084359,0
84,3360,0.0087761,0.026305,0
85,3400,0.03673353,0.110102,0
86,3440,0.02958813,0.088685,1
87,3480,0.03839535,0.115083,1
88,3520,0.04507825,0.135113,1
89,3560,0.02262091,0.067802,1
90,3600,0.02949759,0.088413,1
91,3640,0.06548265,0.196272,1
92,3680,0.0564963,0.169337,1
93,3720,0.0269569,0.080798,1
94,3760,0.01734244,0.051981,0
95,3800,0.01965518,0.058913,0
96,3840,0.00804973,0.024128,0
97,3880,0.01554011,0.046578,0
98,3920,0.04130108,0.123792,1
99,3960,0.04766357,0.142862,1
100,4000,0.0309973,0.092908,0
101,4040,0.01564518,0.046893,0
102,4080,0.03217365,0.096434,0
103,4120,0.04490549,0.134596,0
104,4160,0.02687077,0.08054,0
105,4200,0.02662027,0.079789,0
106,4240,0.02326947,0.069746,0
107,4280,0.01475616,0.044229,0
108,4320,0.00924958,0.027724,0
109,4360,0.00969957,0.029073,0
110,4400,0.03647984,0.109341,1
111,4440,0.06350456,0.190343,1
112,4480,0.02372578,0.071113,1
113,4520,0.02222936,0.066628,1
114,4560,0.00949191,0.02845,1
115,4600,0.03196225,0.095801,1
116,4640,0.06943721,0.208125,1
117,4680,0.03601046,0.107934,1
118,4720,0.00727723,0.021812,0
119,4760,0.00061884,0.001855,0
120,4800,5.755e-05,0.000173,0
121,4840,5.216e-05,0.000156,0
122,4880,0.0,0.0,0
123,4920,0.0,0.0,0
124,4960,0.0,0.0,0
125,5000,0.0,0.0,0
126,5040,0.0,0.0,0
127,5080,0.0,0.0,0
128,5120,0.0,0.0,0
129,5160,0.0,0.0,0
130,5200,0.0,0.0,0
131,5240,0.0,0.0,0
132,5280,0.0,0.0,0
133,5320,0.0,0.0,0
134,5360,0.0,0.0,0
135,5400,0.0,0.0,0
136,5440,0.0,0.0,0
137,5480,0.0,0.0,0
138,5520,0.0,0.0,0
