frame_id,time_ms,syllable,start_v,end_v,alpha,rms_amp,mouth_open,corner_l,corner_r,upper_lip_l,upper_lip_r,lower_lip
0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
3,120,ba,0,0,1.0,1.0,0.0,-0.26,-0.26,-0.23,-0.23,-0.33
4,160,ba,0,0,1.0,1.0,0.0,-0.26,-0.26,-0.23,-0.23,-0.33
5,200,ba,0,0,1.0,1.0,0.0,-0.26,-0.26,-0.23,-0.23,-0.33
6,240,ba,0,7,0.0,1.0,0.0,-0.26,-0.26,-0.23,-0.23,-0.33
7,280,ba,0,7,1.0,0.956339,0.497296,0.401662,0.401662,0.02869,0.02869,0.229521
8,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
9,360,ba,7,7,1.0,0.909019,0.47269,0.381788,0.381788,0.027271,0.027271,0.218165
10,400,ba,7,7,1.0,0.953697,0.495922,0.400553,0.400553,0.028611,0.028611,0.228887
11,440,ma,0,0,1.0,1.0,0.0,-0.26,-0.26,-0.23,-0.23,-0.33
12,480,ma,0,0,1.0,1.0,0.0,-0.26,-0.26,-0.23,-0.23,-0.33
13,520,ma,0,7,0.0,1.0,0.0,-0.26,-0.26,-0.23,-0.23,-0.33
14,560,ma,0,7,0.170507,0.980052,0.086895,-0.141182,-0.141182,-0.181964,-0.181964,-0.228167
15,600,ma,0,7,1.0,0.961071,0.499757,0.40365,0.40365,0.028832,0.028832,0.230657
16,640,ma,7,7,1.0,1.046375,0.544115,0.439477,0.439477,0.031391,0.031391,0.25113
17,680,ma,7,7,1.0,1.08,0.5616,0.4536,0.4536,0.0324,0.0324,0.2592
18,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
19,760,ni,0,0,1.0,1.0,0.0,-0.26,-0.26,-0.23,-0.23,-0.33
20,800,ni,0,0,1.0,1.0,0.0,-0.26,-0.26,-0.23,-0.23,-0.33
21,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
22,880,hao,7,7,1.0,0.926664,0.481865,0.389199,0.389199,0.0278,0.0278,0.222399
23,920,hao,7,7,1.0,0.879722,0.457456,0.369483,0.369483,0.026392,0.026392,0.211133
24,960,hao,7,7,0.0,0.843123,0.438424,0.354112,0.354112,0.025294,0.025294,0.202349
25,1000,hao,7,7,1.0,0.830342,0.431778,0.348744,0.348744,0.02491,0.02491,0.199282
26,1040,hao,7,0,0.0,0.844404,0.43909,0.35465,0.35465,0.025332,0.025332,0.202657
27,1080,hao,7,0,1.0,1.0,0.0,-0.26,-0.26,-0.23,-0.23,-0.33
28,1120,jin,7,7,1.0,0.851848,0.442961,0.357776,0.357776,0.025555,0.025555,0.204444
29,1160,jin,7,7,1.0,0.840625,0.437125,0.353063,0.353063,0.025219,0.025219,0.20175
30,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
31,1240,jin,7,7,0.0,0.949649,0.493818,0.398853,0.398853,0.028489,0.028489,0.227916
32,1280,jin,7,7,1.0,1.016615,0.52864,0.426978,0.426978,0.030498,0.030498,0.243988
33,1320,jin,2,5,0.0,1.015487,0.132013,-0.213252,-0.213252,0.02031,0.02031,0.060929
34,1360,jin,2,5,1.0,0.93552,0.149683,0.308722,0.308722,0.308722,0.308722,0.056131
35,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
36,1440,tian,5,5,1.0,0.773214,0.123714,0.255161,0.255161,0.255161,0.255161,0.046393
37,1480,tian,5,5,1.0,0.739065,0.11825,0.243892,0.243892,0.243892,0.243892,0.044344
38,1520,tian,5,5,0.0,0.725457,0.116073,0.239401,0.239401,0.239401,0.239401,0.043527
39,1560,tian,5,5,1.0,0.72,0.1152,0.2376,0.2376,0.2376,0.2376,0.0432
40,1600,tian,5,4,0.0,0.72,0.1152,0.2376,0.2376,0.2376,0.2376,0.0432
41,1640,tian,5,4,0.829493,0.72,0.192841,0.177877,0.177877,-0.019211,-0.019211,0.162647
42,1680,tian,5,4,1.0,0.72,0.2088,0.1656,0.1656,-0.072,-0.072,0.1872
43,1720,wo,7,7,1.0,0.72168,0.375274,0.303106,0.303106,0.02165,0.02165,0.173203
44,1760,wo,7,7,1.0,0.724807,0.3769,0.304419,0.304419,0.021744,0.021744,0.173954
45,1800,wo,7,7,1.0,0.729218,0.379193,0.306271,0.306271,0.021877,0.021877,0.175012
46,1840,wo,7,6,0.0,0.77212,0.401502,0.32429,0.32429,0.023164,0.023164,0.185309
47,1880,wo,7,6,0.430809,0.813417,0.345883,0.071806,0.071806,-0.007136,-0.007136,0.020006
48,1920,wo,7,6,0.996374,0.878333,0.264201,-0.304964,-0.304964,-0.052413,-0.052413,-0.226774
49,1960,wo,7,6,1.0,0.887844,0.266353,-0.310746,-0.310746,-0.053271,-0.053271,-0.23084
50,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
51,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
