frame_id,time_ms,brow_head_l,brow_head_r,eyelid_open_l,eyelid_open_r,eye_h_attention_l,eye_h_attention_r,eye_v_attention_l,eye_v_attention_r,mouth_open,mouth_up_corner_l,mouth_up_corner_r,mouth_lip_upper_l,mouth_lip_upper_r,mouth_lip_lower,cheek_l,cheek_r
0,0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1,40,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2,80,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3,120,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,-0.14,-0.14,-0.14,-0.14,-0.14,1.0,1.0
4,160,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,-0.23,-0.23,-0.2075,-0.2075,-0.28,1.0,1.0
5,200,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,-0.2525,-0.2525,-0.224375,-0.224375,-0.3175,1.0,1.0
6,240,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,-0.258125,-0.258125,-0.228594,-0.228594,-0.326875,1.0,1.0
7,280,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.14,-0.118125,-0.118125,-0.088594,-0.088594,-0.186875,1.0,1.0
8,320,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.035,-0.029531,-0.029531,-0.022148,-0.022148,-0.046875,1.0,1.0
9,360,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.175,0.110469,0.110469,0.014916,0.014916,0.093125,1.0,1.0
10,400,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.315,0.250469,0.250469,0.025187,0.025187,0.194946,1.0,1.0
11,440,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.175,0.110469,0.110469,-0.114813,-0.114813,0.054946,1.0,1.0
12,480,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.04375,-0.029531,-0.029531,-0.201203,-0.201203,-0.085054,1.0,1.0
13,520,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.010938,-0.169531,-0.169531,-0.222801,-0.222801,-0.225054,1.0,1.0
14,560,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.067906,-0.148269,-0.148269,-0.192173,-0.192173,-0.227389,1.0,1.0
15,600,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.207906,-0.008269,-0.008269,-0.052173,-0.052173,-0.087389,1.0,1.0
16,640,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.347906,0.131731,0.131731,0.0105,0.0105,0.052611,1.0,1.0
17,680,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.487906,0.271731,0.271731,0.026925,0.026925,0.192611,1.0,1.0
18,720,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.347906,0.131731,0.131731,0.006731,0.006731,0.052611,1.0,1.0
19,760,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.207906,-0.008269,-0.008269,-0.133269,-0.133269,-0.087389,1.0,1.0
20,800,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.067906,-0.148269,-0.148269,-0.205817,-0.205817,-0.227389,1.0,1.0
21,840,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.016976,-0.037067,-0.037067,-0.065817,-0.065817,-0.087389,1.0,1.0
22,880,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.156976,0.102933,0.102933,0.004396,0.004396,0.052611,1.0,1.0
23,920,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.296976,0.242933,0.242933,0.020893,0.020893,0.171503,1.0,1.0
24,960,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.331563,0.268567,0.268567,0.020069,0.020069,0.161638,1.0,1.0
25,1000,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.254437,0.205698,0.205698,0.014914,0.014914,0.119585,1.0,1.0
26,1040,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.149382,0.120703,0.120703,0.008677,0.008677,0.069483,1.0,1.0
27,1080,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.037346,0.030176,0.030176,0.002169,0.002169,0.017371,1.0,1.0
28,1120,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.009336,0.007544,0.007544,0.000542,0.000542,0.004343,1.0,1.0
29,1160,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.002334,0.001886,0.001886,0.000136,0.000136,0.001086,1.0,1.0
30,1200,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.000584,0.000471,0.000471,3.4e-05,3.4e-05,0.000271,1.0,1.0
31,1240,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.140584,0.140471,0.140471,0.021375,0.021375,0.140271,1.0,1.0
32,1280,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.280584,0.280471,0.280471,0.028217,0.028217,0.218059,1.0,1.0
33,1320,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.169156,0.140471,0.140471,0.022287,0.022287,0.100211,1.0,1.0
34,1360,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.154551,0.266659,0.266659,0.162287,0.162287,0.067151,1.0,1.0
35,1400,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.038638,0.126659,0.126659,0.040572,0.040572,0.016788,1.0,1.0
36,1440,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.009659,0.031665,0.031665,0.010143,0.010143,0.004197,1.0,1.0
37,1480,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.002415,0.007916,0.007916,0.002536,0.002536,0.001049,1.0,1.0
38,1520,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.000604,0.001979,0.001979,0.000634,0.000634,0.000262,1.0,1.0
39,1560,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.000151,0.000495,0.000495,0.000158,0.000158,6.6e-05,1.0,1.0
40,1600,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,3.8e-05,0.000124,0.000124,4e-05,4e-05,1.6e-05,1.0,1.0
41,1640,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,9e-06,3.1e-05,3.1e-05,1e-05,1e-05,4e-06,1.0,1.0
42,1680,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,2e-06,8e-06,8e-06,2e-06,2e-06,1e-06,1.0,1.0
43,1720,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1e-06,2e-06,2e-06,1e-06,1e-06,0.0,1.0,1.0
44,1760,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
45,1800,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
46,1840,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
