frame_id,time_ms,phrase_idx,syllable_idx,global_syllable_idx,syllable,start_viseme,end_viseme,alpha
3,120,0,0,0,ba,0,0,1.0
4,160,0,0,0,ba,0,0,1.0
5,200,0,0,0,ba,0,0,1.0
6,240,0,0,0,ba,0,7,0.0
7,280,0,0,0,ba,0,7,1.0
9,360,0,1,1,ba,7,7,1.0
10,400,0,1,1,ba,7,7,1.0
11,440,0,2,2,ma,0,0,1.0
12,480,0,2,2,ma,0,0,1.0
13,520,0,2,2,ma,0,7,0.0
14,560,0,2,2,ma,0,7,0.170507
15,600,0,2,2,ma,0,7,1.0
16,640,0,3,3,ma,7,7,1.0
17,680,0,3,3,ma,7,7,1.0
19,760,0,4,4,ni,0,0,1.0
20,800,0,4,4,ni,0,0,1.0
22,880,0,5,5,hao,7,7,1.0
23,920,0,5,5,hao,7,7,1.0
24,960,0,5,5,hao,7,7,0.0
25,1000,0,5,5,hao,7,7,1.0
26,1040,0,5,5,hao,7,0,0.0
27,1080,0,5,5,hao,7,0,1.0
28,1120,1,0,6,jin,7,7,1.0
29,1160,1,0,6,jin,7,7,1.0
31,1240,1,0,6,jin,7,7,0.0
32,1280,1,0,6,jin,7,7,1.0
33,1320,1,0,6,jin,2,5,0.0
34,1360,1,0,6,jin,2,5,1.0
36,1440,1,1,7,tian,5,5,1.0
37,1480,1,1,7,tian,5,5,1.0
38,1520,1,1,7,tian,5,5,0.0
39,1560,1,1,7,tian,5,5,1.0
40,1600,1,1,7,tian,5,4,0.0
41,1640,1,1,7,tian,5,4,0.829493
42,1680,1,1,7,tian,5,4,1.0
43,1720,1,2,8,wo,7,7,1.0
44,1760,1,2,8,wo,7,7,1.0
45,1800,1,2,8,wo,7,7,1.0
46,1840,1,2,8,wo,7,6,0.0
47,1880,1,2,8,wo,7,6,0.430809
48,1920,1,2,8,wo,7,6,0.996374
49,1960,1,2,8,wo,7,6,1.0
64,2560,1,4,10,ce,2,5,0.0
65,2600,1,4,10,ce,2,5,1.0
67,2680,1,5,11,shi,5,5,1.0
68,2720,1,5,11,shi,5,5,1.0
69,2760,1,5,11,shi,5,2,0.0
70,2800,1,5,11,shi,5,2,1.0
72,2880,1,6,12,ji,5,2,1.0
75,3000,1,6,12,ji,2,7,0.0
76,3040,1,6,12,ji,2,7,0.829493
77,3080,1,6,12,ji,2,7,1.0
78,3120,1,7,13,qi,2,2,1.0
79,3160,1,7,13,qi,2,2,1.0
80,3200,1,7,13,qi,2,2,1.0
82,3280,1,7,13,qi,2,3,0.0
83,3320,1,7,13,qi,2,3,1.0
84,3360,1,8,14,ren,6,6,1.0
85,3400,1,8,14,ren,6,6,1.0
86,3440,1,8,14,ren,6,6,0.0
87,3480,1,8,14,ren,6,6,1.0
88,3520,1,8,14,ren,6,0,0.0
89,3560,1,8,14,ren,6,0,1.0
90,3600,1,9,15,zui,4,4,1.0
91,3640,1,9,15,zui,4,2,0.0
92,3680,1,9,15,zui,4,2,1.0
93,3720,1,9,15,zui,2,5,0.0
94,3760,1,9,15,zui,2,5,0.430809
95,3800,1,9,15,zui,2,5,0.996374
96,3840,1,9,15,zui,2,5,1.0
97,3880,1,10,16,xing,4,4,1.0
98,3920,1,10,16,xing,4,4,1.0
99,3960,1,10,16,xing,4,4,0.0
100,4000,1,10,16,xing,4,4,1.0
101,4040,1,10,16,xing,4,5,0.0
102,4080,1,10,16,xing,4,5,0.829493
103,4120,1,10,16,xing,4,5,1.0
104,4160,1,11,17,tong,5,5,1.0
105,4200,1,11,17,tong,5,5,1.0
106,4240,1,11,17,tong,5,5,0.0
107,4280,1,11,17,tong,5,5,0.829493
108,4320,1,11,17,tong,5,5,1.0
110,4400,1,11,17,tong,2,5,0.0
111,4440,1,11,17,tong,2,5,1.0
113,4520,1,12,18,bu,5,5,1.0
114,4560,1,12,18,bu,5,5,1.0
115,4600,1,12,18,bu,5,5,1.0
116,4640,1,12,18,bu,2,5,0.0
117,4680,1,12,18,bu,2,5,1.0
120,4800,1,12,18,bu,5,5,0.0
121,4840,1,12,18,bu,5,5,0.0
122,4880,1,12,18,bu,5,5,1.0
123,4920,1,12,18,bu,5,5,0.0
124,4960,1,12,18,bu,5,5,1.0
126,5040,1,12,18,bu,5,4,0.0
127,5080,1,12,18,bu,5,4,0.829493
128,5120,1,12,18,bu,5,4,1.0
129,5160,1,12,18,bu,4,2,0.0
130,5200,1,12,18,bu,4,2,0.5
131,5240,1,12,18,bu,4,2,1.0
133,5320,1,12,18,bu,5,3,1.0
135,5400,1,12,18,bu,3,4,0.0
136,5440,1,12,18,bu,3,4,0.829493
137,5480,1,12,18,bu,3,4,1.0
138,5520,1,12,18,bu,4,5,0.0
139,5560,1,12,18,bu,4,5,1.0
140,5600,1,12,18,bu,5,2,0.0
141,5640,1,12,18,bu,5,2,1.0
144,5760,1,12,18,bu,2,4,0.0
145,5800,1,12,18,bu,2,4,1.0
146,5840,1,12,18,bu,4,4,0.0
147,5880,1,12,18,bu,4,4,1.0
149,5960,1,12,18,bu,3,2,1.0
152,6080,1,12,18,bu,2,3,0.0
153,6120,1,12,18,bu,2,3,1.0
154,6160,1,12,18,bu,3,4,0.0
155,6200,1,12,18,bu,3,4,0.829493
156,6240,1,12,18,bu,3,4,1.0
158,6320,1,12,18,bu,0,3,1.0
159,6360,1,12,18,bu,3,3,0.0
160,6400,1,12,18,bu,3,3,1.0
161,6440,1,12,18,bu,3,3,0.0
162,6480,1,12,18,bu,3,3,0.430809
163,6520,1,12,18,bu,3,3,0.996374
164,6560,1,12,18,bu,3,3,1.0
